Hr,Volum_SK,Volum_KO,Volum_BG,Volum_BV
0,82.5483871,50.77419355,54.70967742,87.51612903
1,56.22580645,30.90322581,34.61290323,55.93548387
2,35.70967742,18,22.77419355,38.03225806
3,30.70967742,12.48387097,16.06451613,26.41935484
4,25.61290323,10.77419355,10.48387097,20.87096774
5,52.22580645,31.25806452,21.5483871,39.4516129
6,174.6129032,71.09677419,77.96774194,182.7096774
7,574.0322581,289.5483871,400.7741935,780.0322581
8,469.6129032,393.516129,507.6451613,604.9354839
9,387.483871,236.2258065,283.7096774,490.1935484
10,444.2903226,245.0645161,319.5483871,560.0967742
11,523.8709677,302.3225806,389.9354839,665.3870968
12,598.0322581,336,459,754.2580645
13,693.8709677,428.9354839,564.8387097,883.1612903
14,757.0967742,483.6129032,683.6451613,994.1290323
15,855.0322581,579.7741935,840.3225806,1210.774194
16,772.3225806,515.1935484,758.3225806,1062.709677
17,537.9032258,371.2903226,511.9677419,768.4193548
18,464.2580645,329.516129,454.1935484,671.7741935
19,381.9354839,289.0322581,379.516129,579.9677419
20,325.1935484,224.7741935,302.5806452,478.0967742
21,251.6774194,163.7096774,233.4193548,340.9032258
22,191.7419355,118.6451613,165.5483871,265.5483871
23,123.5806452,77.25806452,89.29032258,146.2258065
